datetime,house_type,price,acreage,address,district,city,bedrooms,wc,price 2,price 3,wc 2,bedrooms 2,floors,floors 2,property age,latitude,longitude,hospital,supermarket,school,park,amenities_rating
2023-06-06 10:52:07,Nhà mặt phố,6.1,90.0,"Bình Long, Tân Phú, TP Hồ Chí Minh",Tân Phú,TP Hồ Chí Minh,4.0,4.0,6.1,,,,3.0,,5,10.8001535,106.6117229,False,False,True,True,2
2023-06-06 10:50:14,Nhà riêng,4.3,,"Thanh Xuân, Hà Nội",Thanh Xuân,Hà Nội,3.0,,4.3,4.3,,3.0,,,5,20.9936873,105.8143014,True,True,True,False,4
2023-06-06 10:45:21,Nhà riêng,0.85,100.0,"Biên Hòa, Đồng Nai",Biên Hòa,Đồng Nai,3.0,2.0,0.85,0.85,,2.0,2.0,2.0,5,10.9509538,106.8226134,True,False,True,True,4
2023-06-05 15:29:13,Nhà riêng,5.1,81.0,"Tân Phú, TP Hồ Chí Minh",Tân Phú,TP Hồ Chí Minh,2.0,,5.0,0.0075,,,2.0,,6,10.727068,106.7261695,False,True,True,True,3
2023-06-05 15:29:58,Nhà riêng,5.5,40.0,"Bùi Đình Túy, Bình Thạnh, TP Hồ Chí Minh",Bình Thạnh,TP Hồ Chí Minh,4.0,4.0,5.5,,,4.0,4.0,,6,10.8082294,106.7075417,False,True,True,True,3
2023-06-05 16:28:46,Nhà riêng,4.0,61.0,"Bình Tân, TP Hồ Chí Minh",Bình Tân,TP Hồ Chí Minh,3.0,4.0,4.0,,4.0,3.0,3.0,,6,10.8030656,106.65227606400094,False,False,True,False,1
2023-06-05 16:49:27,Nhà riêng,2.8,22.0,"HÒA BÌNH, QUẬN 11, TP Hồ Chí Minh",Quận 11,TP Hồ Chí Minh,2.0,,2.8,2.8,,2.0,2.0,2.0,6,10.7669293,106.6418762,False,False,False,False,0
2023-06-05 17:30:26,Nhà riêng,3.85,38.0,ngõ 461 đường Minh Khai quận Hai Bà Trưng Hà Nội,Hai Bà Trưng,Hà Nội,3.0,4.0,3.85,3.85,,3.0,5.0,,6,21.012198,105.8552245,True,True,True,True,5
2023-06-05 17:57:39,Nhà riêng,3.28,45.0,ngõ 169 đường Hoàng Mai quận Hai Bà Trưng Hà Nội,Hai Bà Trưng,Hà Nội,3.0,3.0,3.0,3.28,3.0,3.0,3.0,,6,21.012198,105.8552245,True,True,True,True,5
2023-06-05 18:39:38,Nhà riêng,4.6,33.0,"Cầu Giấy, Hà Nội",Cầu Giấy,Hà Nội,3.0,4.0,4.6,4.6,,3.0,5.0,5.0,6,21.02916475,105.80343767219593,True,True,True,True,5
2023-06-05 20:36:58,Nhà riêng,4.4,38.0,"Điện Biên Phủ, Bình Thạnh, TP Hồ Chí Minh",Bình Thạnh,TP Hồ Chí Minh,3.0,3.0,4.4,,,3.0,3.0,,6,10.7936318,106.7008835,False,False,False,False,0
2023-06-05 21:26:41,Nhà riêng,6.0,65.0,"Cầu Giấy, Hà Nội",Cầu Giấy,Hà Nội,,,6.0,6.0,,,,,6,21.02916475,105.80343767219593,True,True,True,True,5
2023-06-06 09:11:16,Nhà riêng,8.2,80.0,"CHU VĂN AN, P12, BÌNH THẠNH, TP Hồ Chí Minh",Bình Thạnh,TP Hồ Chí Minh,4.0,4.0,8.2,,4.0,4.0,3.0,,5,10.8116148,106.6982858,False,False,False,False,0
2023-06-06 09:19:54,Nhà riêng,5.5,32.0,"Gò Vấp, TP Hồ Chí Minh",Gò Vấp,TP Hồ Chí Minh,4.0,4.0,,,,,4.0,4.0,5,10.8440568,106.6403038,False,False,True,False,1
2023-06-06 09:20:30,Nhà riêng,0.85,100.0,"Hóc Môn, TP Hồ Chí Minh",Hóc Môn,TP Hồ Chí Minh,3.0,3.0,0.4,0.85,,3.0,2.0,,5,10.878345,106.57635314823771,False,False,True,False,1
2023-06-06 10:08:58,Nhà riêng,5.7,42.0,"Bình Thạnh, TP Hồ Chí Minh",Bình Thạnh,TP Hồ Chí Minh,2.0,2.0,5.7,5.7,,2.0,2.0,,5,10.8041602,106.5878711,False,True,True,True,3
2023-06-06 10:13:48,Nhà riêng,5.5,44.0,"Bình Thạnh, TP Hồ Chí Minh",Bình Thạnh,TP Hồ Chí Minh,3.0,2.0,5.5,5.5,2.0,3.0,4.0,4.0,5,10.8041602,106.5878711,False,True,True,True,3
2023-06-05 15:16:48,Nhà riêng,2.9,65.0,"Thành phố Đà Nẵng, Ngũ Hành Sơn, Đà Nẵng",Ngũ Hành Sơn,Đà Nẵng,2.0,,2.9,2.9,,2.0,,,6,15.9889721,108.27426014577615,False,False,False,False,0
2023-06-05 10:35:38,Nhà riêng,14.0,90.0,"Hai Bà Trưng, Hà Nội",Hai Bà Trưng,Hà Nội,5.0,4.0,14.0,14.0,,2.0,5.0,5.0,6,21.012198,105.8552245,True,True,True,True,5
2023-06-05 10:38:45,Nhà riêng,,,"Thành phố Hồ Chí Minh, Quận 3, TP Hồ Chí Minh",Quận 3,TP Hồ Chí Minh,5.0,,,,,5.0,5.0,5.0,6,10.7830141,106.69489776895682,False,False,False,False,0
2023-06-05 12:18:18,Nhà riêng,3.7,30.0,"Gò Vấp, TP Hồ Chí Minh",Gò Vấp,TP Hồ Chí Minh,2.0,2.0,,,,,2.0,,6,10.8440568,106.6403038,False,False,True,False,1
2023-06-05 12:58:36,Nhà riêng,4.4,38.0,"Điện Biên Phủ, Phường 22, Bình Thạnh, TP Hồ Chí Minh",Bình Thạnh,TP Hồ Chí Minh,3.0,3.0,4.4,4.4,2.0,2.0,3.0,3.0,6,10.7995068,106.7179406,False,False,True,False,1
2023-06-05 13:47:38,Nhà riêng,3.9,45.0,"Lê Trọng Tấn, P. Sơn Kỳ, Tân Phú, TP Hồ Chí Minh",Tân Phú,TP Hồ Chí Minh,2.0,2.0,3.9,,,2.0,2.0,,6,10.8098441,106.6136317,False,False,True,False,1
2023-06-05 13:47:38,Nhà riêng,3.9,45.0,"Lê Trọng Tấn, P. Sơn Kỳ, Tân Phú, TP Hồ Chí Minh",Tân Phú,TP Hồ Chí Minh,2.0,2.0,3.9,,,2.0,2.0,,6,10.8098441,106.6136317,False,False,True,False,1
2023-06-05 14:08:08,Nhà riêng,12.7,51.0,"Thống Nhất, Gò Vấp, TP Hồ Chí Minh",Gò Vấp,TP Hồ Chí Minh,4.0,5.0,12.7,,,4.0,6.0,6.0,6,10.8409523,106.6649008,False,False,True,False,1
2023-06-05 14:33:24,Nhà mặt phố,25.0,50.0,"LÁNG THƯỢNG, ĐỐNG ĐA, HÀ NỘI",Đống Đa,Hà Nội,4.0,,25.0,25.0,,4.0,4.0,4.0,6,21.0229826,105.8046913,True,True,True,True,5
2023-06-05 14:49:11,Nhà mặt phố,4.5,160.0,đường số 10 khóm 4 phường 4 TP Cà mau,Cà Mau,Cà Mau,3.0,3.0,,,,,,,6,9.1782047,105.1519707,True,True,True,True,5
2023-06-05 15:06:20,Nhà riêng,7.4,48.0,"Phạm Văn Chiêu, Gò Vấp, TP Hồ Chí Minh",Gò Vấp,TP Hồ Chí Minh,4.0,5.0,7.4,,5.0,4.0,3.0,5.0,6,10.8502172,106.6595954,False,False,False,False,0
2023-06-05 10:18:46,Nhà riêng,1080.0,128.0,"thanh phú, Vĩnh Cửu, Đồng Nai",Vĩnh Cửu,Đồng Nai,3.0,2.0,1.08,1.08,2.0,3.0,,,6,11.0118717,106.8417305,True,False,True,False,3
2023-06-05 10:13:05,Nhà mặt phố,7.5,76.0,"Bình Tân, TP Hồ Chí Minh",Bình Tân,TP Hồ Chí Minh,,,7.5,7.5,,,4.0,4.0,6,10.8030656,106.65227606400094,False,False,True,False,1
2023-06-05 10:09:08,Nhà mặt phố,3650.0,75.0,"14.5, Từ Sơn, Bắc Ninh",Từ Sơn,Bắc Ninh,,,,,,,4.0,,6,21.113309,105.9568611,True,False,True,False,3
2023-06-05 10:03:34,Nhà riêng,5.6,85.0,"Bình Tân, TP Hồ Chí Minh",Bình Tân,TP Hồ Chí Minh,,,5.6,5.6,,,3.0,3.0,6,10.8030656,106.65227606400094,False,False,True,False,1
2023-06-05 09:58:29,Nhà riêng,3.15,48.0,"Himlam, Hùng Vương, Hồng Bàng, Hải Phòng",Hồng Bàng,Hải Phòng,4.0,3.0,3.0,3.15,3.0,4.0,4.0,4.0,6,20.8763328,106.64442867897044,True,False,True,True,4
2023-06-05 09:38:47,Nhà riêng,3.57,44.0,"Bình Tân, TP Hồ Chí Minh",Bình Tân,TP Hồ Chí Minh,,,3.57,3.57,,,2.0,2.0,6,10.8030656,106.65227606400094,False,False,True,False,1
2023-06-05 09:31:51,Nhà riêng,4.65,40.0,"Bình Tân, TP Hồ Chí Minh",Bình Tân,TP Hồ Chí Minh,,,4.65,4.65,,,3.0,4.0,6,10.8030656,106.65227606400094,False,False,True,False,1
2023-06-05 09:24:51,Nhà mặt phố,,,"Liên Chiểu, Đà Nẵng",Liên Chiểu,Đà Nẵng,3.0,4.0,,,,,,,6,16.12039865,108.11323928681657,False,False,False,False,0
2023-06-05 09:29:52,Nhà mặt phố,4.8,60.0,"Miếu gò xoài, Bình Tân, TP Hồ Chí Minh",Bình Tân,TP Hồ Chí Minh,3.0,4.0,,,4.0,,3.0,5.0,6,10.7797669,106.6041103,False,False,False,False,0
2023-06-05 09:17:14,Nhà riêng,5.1,48.0,"Bình Tân, TP Hồ Chí Minh",Bình Tân,TP Hồ Chí Minh,4.0,4.0,5.1,5.1,4.0,4.0,3.0,4.0,6,10.8030656,106.65227606400094,False,False,True,False,1
2023-06-05 09:17:50,Nhà riêng,3.2,61.0,"DT 743, BÌnh Chuẩn ,Thuận An, Bình Dương",Thuận An,Bình Dương,4.0,4.0,3.2,3.2,4.0,4.0,3.0,,6,10.9749605,106.7416883,True,False,False,False,2
2023-06-04 21:35:14,Nhà mặt phố,5.5,52.0,"Hương lộ 2, Bình Trị Đông, Bình Tân, Hồ Chí Minh, -Dự án-, TP Hồ Chí Minh",Bình Tân,TP Hồ Chí Minh,4.0,,5.0,,,,4.0,4.0,7,10.8030656,106.65227606400094,False,False,True,False,1
2023-06-04 21:50:57,Nhà riêng,2.2,18.0,"kinh dương vương, an lạc, Bình Tân, TP Hồ Chí Minh",Bình Tân,TP Hồ Chí Minh,2.0,3.0,2.2,,,2.0,3.0,3.0,7,10.742373,106.6199163,True,True,True,True,5
2023-06-04 22:00:38,Nhà riêng,4.5,56.0,"Hương lộ 2, Bình Trị Đông A, Bình Tân, Hồ Chí Minh, TP Hồ Chí Minh",Bình Tân,TP Hồ Chí Minh,2.0,2.0,4.5,,,2.0,2.0,2.0,7,10.7694645,106.6127274,False,False,False,False,0
2023-06-04 22:20:35,Nhà mặt phố,7.6,80.0,"Quận 10, TP Hồ Chí Minh",Quận 10,TP Hồ Chí Minh,2.0,2.0,7.6,7.6,2.0,2.0,2.0,,7,10.7726536,106.66821544343898,False,False,True,False,1
2023-06-04 22:35:36,Nhà riêng,3150.0,50.0,"Quận Hà Đông, Hà Nội",Hà Đông,Hà Nội,,,,,,,,,7,20.9489705,105.745567,False,False,True,False,1
2023-06-03 05:11:19,Nhà riêng,9.8,52.0,"Gò Vấp, TP Hồ Chí Minh",Gò Vấp,TP Hồ Chí Minh,4.0,5.0,9.8,,5.0,4.0,6.0,6.0,9,10.8440568,106.6403038,False,False,True,False,1
2023-06-03 08:03:34,Nhà riêng,8.0,105.0,"Phạm Văn Chiêu, Gò Vấp, TP Hồ Chí Minh",Gò Vấp,TP Hồ Chí Minh,5.0,2.0,8.0,,,5.0,2.0,2.0,9,10.8502172,106.6595954,False,False,False,False,0
2023-06-03 08:24:34,Nhà mặt phố,6.2,115.0,"Đường Lê Văn Thứ, Sơn Trà, Đà Nẵng",Sơn Trà,Đà Nẵng,3.0,2.0,6.2,6.2,2.0,3.0,2.0,,8,16.0852287,108.2444503,False,False,False,False,0
2023-06-03 08:44:51,Nhà riêng,5.9,48.0,"Bạch Đằng, Thượng Lý, Hồng Bàng, Hải Phòng",Hồng Bàng,Hải Phòng,4.0,5.0,5.9,5.9,5.0,,5.0,5.0,8,20.8619028,106.6674862,False,False,False,False,0
2023-06-03 09:29:00,Nhà riêng,3.4,36.0,"Xuân Đỗ, Cự Khối, Long Biên, Hà Nội",Long Biên,Hà Nội,,1.0,3.4,,1.0,,1.0,4.0,8,21.0124467,105.9052017,False,False,True,True,2
2023-06-03 09:43:37,Nhà riêng,5.5,,"Tân Bình, TP Hồ Chí Minh",Tân Bình,TP Hồ Chí Minh,3.0,3.0,5.0,,3.0,3.0,3.0,3.0,8,10.7976722,106.66523106900442,False,False,False,False,0
2023-06-03 09:59:21,Nhà riêng,13.2,78.0,"97 Bạch Đằng, Hạ Lý, Hồng Bàng, Hải Phòng",Hồng Bàng,Hải Phòng,4.0,4.0,13.2,13.2,4.0,4.0,4.0,4.0,8,20.8616823,106.6719458,False,False,True,False,1
2023-06-03 10:02:26,Nhà mặt phố,4700000.0,56.0,"Thủ Đức, TP Hồ Chí Minh",Thủ Đức,TP Hồ Chí Minh,2.0,2.0,4.0,4.0,2.0,2.0,2.0,,8,10.8298295,106.7617899,False,False,True,False,1
2023-06-03 10:06:31,Nhà riêng,3.45,36.0,"Bình Tân, TP Hồ Chí Minh",Bình Tân,TP Hồ Chí Minh,,,3.45,3.45,,,2.0,2.0,8,10.8030656,106.65227606400094,False,False,True,False,1
2023-06-03 10:14:18,Nhà riêng,5.5,50.0,"Bình Tân, TP Hồ Chí Minh",Bình Tân,TP Hồ Chí Minh,,,5.5,5.5,,,3.0,3.0,8,10.8030656,106.65227606400094,False,False,True,False,1
2023-06-03 10:23:14,Nhà mặt phố,4900000.0,106.0,"Quận 9, TP Hồ Chí Minh",Quận 9,TP Hồ Chí Minh,3.0,2.0,4.9,4.9,2.0,3.0,2.0,2.0,8,10.8311346,106.7715507,False,False,False,False,0
2023-06-03 10:36:14,Nhà riêng,3.5,36.0,"Bình Tân, TP Hồ Chí Minh",Bình Tân,TP Hồ Chí Minh,,,3.5,3.5,,,2.0,2.0,8,10.8030656,106.65227606400094,False,False,True,False,1
2023-06-03 10:43:28,Nhà riêng,5.9,50.0,"Bình Tân, TP Hồ Chí Minh",Bình Tân,TP Hồ Chí Minh,4.0,4.0,5.9,5.9,4.0,4.0,3.0,4.0,8,10.8030656,106.65227606400094,False,False,True,False,1
2023-06-03 10:57:33,Nhà mặt phố,3.88,35.0,"Bình Thạnh, TP Hồ Chí Minh",Bình Thạnh,TP Hồ Chí Minh,2.0,3.0,3.88,3.88,3.0,2.0,3.0,,8,10.8041602,106.5878711,False,True,True,True,3
2023-06-03 11:02:20,Nhà riêng,2.7,65.0,"Bình Chánh, TP Hồ Chí Minh",Bình Chánh,TP Hồ Chí Minh,3.0,3.0,2.0,,3.0,3.0,2.0,,8,10.7500035,106.51488582967848,False,False,True,False,1
2023-06-03 13:38:00,Nhà riêng,3.2,42.0,"Tây Thạnh, P. Tây Thạnh, Tân Phú, TP Hồ Chí Minh",Tân Phú,TP Hồ Chí Minh,2.0,2.0,3.2,,,,,,8,10.8203973,106.630635,False,True,True,True,3
2023-06-03 13:50:16,Nhà riêng,2.5,20.0,"BÌNH THỚI, QUẬN 11, TP Hồ Chí Minh",Quận 11,TP Hồ Chí Minh,,,2.5,2.5,,,2.0,2.0,8,10.76265395,106.64905850455048,False,False,True,False,1
2023-06-03 14:12:44,Nhà riêng,4.1,30.0,"Tân Phú, TP Hồ Chí Minh",Tân Phú,TP Hồ Chí Minh,2.0,2.0,4.1,4.1,,2.0,3.0,,8,10.727068,106.7261695,False,True,True,True,3
2023-06-03 14:44:57,Nhà riêng,4900000000.0,40.0,"Tân Bình, TP Hồ Chí Minh",Tân Bình,TP Hồ Chí Minh,2.0,2.0,4.9,,2.0,2.0,2.0,,8,10.7976722,106.66523106900442,False,False,False,False,0
2023-06-03 14:52:52,Nhà riêng,10.3,60.0,"Đống Đa, Hà Nội",Đống Đa,Hà Nội,4.0,3.0,10.3,10.3,,,4.0,4.0,8,21.015036,105.8300542,False,True,False,True,2
2023-06-03 15:22:27,Nhà riêng,12.8,51.0,"Đống Đa, Hà Nội",Đống Đa,Hà Nội,4.0,6.0,12.8,12.8,,,7.0,7.0,8,21.015036,105.8300542,False,True,False,True,2
2023-06-03 15:26:53,Nhà mặt phố,1.05,120.0,"ĐT 741, Xã Chánh Phú Hòa, Tx. Bến Cát, Bình Dương, -Dự án-, Tân Uyên, Bình Dương",Tân Uyên,Bình Dương,,,1.05,1.05,,,2.0,2.0,8,11.0600684,106.795688,False,False,True,False,1
2023-06-03 17:39:03,Nhà mặt phố,3.05,32.0,"Mã Lò, Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh, TP Hồ Chí Minh",Bình Tân,TP Hồ Chí Minh,1.0,2.0,,,2.0,1.0,2.0,2.0,8,10.7769976,106.6007301,False,False,False,False,0
2023-06-04 08:53:53,Nhà mặt phố,3260.0,1226.0,"Đường Nguyễn Đình Chính, Phú Nhuận, TP Hồ Chí Minh",Phú Nhuận,TP Hồ Chí Minh,4.0,3.0,3.25,3.25,3.0,4.0,3.0,,7,10.8010732,106.6798916250364,False,True,True,True,3
2023-06-04 09:47:57,Nhà mặt phố,7.1,120.0,"KĐT centa Vsip, Phù Chẩn, tp Từ Sơn, Bắc Ninh, khu đô thị Centa Vsip, Phù Chẩn, Từ Sơn, Bắc Ninh",Từ Sơn,Bắc Ninh,,,,,,,,,7,21.113309,105.9568611,True,False,True,False,3
2023-06-04 10:34:04,Nhà riêng,2.95,33.0,"ÂU CƠ, QUẬN 11, TP Hồ Chí Minh",Quận 11,TP Hồ Chí Minh,,2.0,2.95,2.95,2.0,,2.0,2.0,7,10.7693382,106.6517089,False,False,True,False,1
2023-06-04 11:03:07,Nhà riêng,3.3,60.0,"Thuận An, Bình Dương",Thuận An,Bình Dương,4.0,4.0,0.7,3.3,4.0,4.0,2.0,2.0,7,10.9035106,106.6990779,True,False,True,True,4
2023-06-04 11:26:27,Nhà riêng,4.55,35.0,"Cầu Giấy, Hà Nội",Cầu Giấy,Hà Nội,3.0,4.0,4.55,4.55,,3.0,,,7,21.02916475,105.80343767219593,True,True,True,True,5
2023-06-04 11:30:45,Nhà riêng,4.3,53.0,"Trịnh Đình Trọng, Tân Phú, TP Hồ Chí Minh",Tân Phú,TP Hồ Chí Minh,1.0,1.0,4.0,,,1.0,,,7,10.7746685,106.6400015,True,True,True,True,5
2023-06-04 12:28:22,Nhà riêng,5.2,72.0,"Đường Tân Thới Nhất 3, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh, TP Hồ Chí Minh",Quận 12,TP Hồ Chí Minh,3.0,3.0,5.2,5.2,3.0,3.0,3.0,,7,10.86141075,106.66420925636412,False,False,True,False,1
2023-06-04 12:41:48,Nhà riêng,2.0,26.0,"LẠC LONG QUÂN, QUẬN 11, TP Hồ Chí Minh",Quận 11,TP Hồ Chí Minh,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7,10.7646455,106.6421932,False,False,False,False,0
2023-06-04 14:07:05,Nhà mặt phố,3000000.0,40.0,"PHẠM THẾ HIỂN, Quận 8, TP Hồ Chí Minh",Quận 8,TP Hồ Chí Minh,3.0,2.0,,,2.0,3.0,3.0,,7,10.7438033,106.6721293,False,False,True,False,1
2023-06-04 15:30:55,Nhà riêng,5.5,58.0,"Tân Kỳ Tân Quý, P. Sơn Kỳ, Tân Phú, TP Hồ Chí Minh",Tân Phú,TP Hồ Chí Minh,2.0,2.0,5.5,,,2.0,2.0,,7,10.79913,106.6185838,False,True,True,True,3
2023-06-04 17:02:40,Nhà riêng,5.0,60.0,"Gò Vấp, TP Hồ Chí Minh",Gò Vấp,TP Hồ Chí Minh,3.0,2.0,5.4,5.0,2.0,3.0,,,7,10.8440568,106.6403038,False,False,True,False,1
2023-06-04 17:08:23,Nhà riêng,3.5,35.0,"Bình Thạnh, TP Hồ Chí Minh",Bình Thạnh,TP Hồ Chí Minh,2.0,2.0,5.3,5.3,,2.0,2.0,,7,10.8041602,106.5878711,False,True,True,True,3
2023-06-04 17:55:21,Nhà riêng,4400.0,43.0,"Quận Hà Đông, Hà Nội",Hà Đông,Hà Nội,,,4.0,4.0,,,,,7,20.9489705,105.745567,False,False,True,False,1
2023-06-04 18:20:32,Nhà mặt phố,3.9,100.0,"Đường Nguyễn Xí, Bình Thạnh, TP Hồ Chí Minh",Bình Thạnh,TP Hồ Chí Minh,5.0,6.0,3.9,3.9,6.0,5.0,4.0,,7,10.8178747,106.706007,False,False,False,False,0
2023-06-04 18:49:26,Nhà mặt phố,3.6,132.0,"Đường Nguyễn Đình Chiểu, Phú Nhuận, TP Hồ Chí Minh",Phú Nhuận,TP Hồ Chí Minh,6.0,4.0,3.6,3.6,4.0,6.0,4.0,,7,10.8010732,106.6798916250364,False,True,True,True,3
2023-06-02 21:43:07,Nhà riêng,4.6,42.0,"Gò Vấp, TP Hồ Chí Minh",Gò Vấp,TP Hồ Chí Minh,3.0,1.0,,,1.0,3.0,,,9,10.8440568,106.6403038,False,False,True,False,1
2023-06-02 10:59:35,Nhà riêng,6.8,30.0,"Nam Từ Liêm, Hà Nội",Nam Từ Liêm,Hà Nội,3.0,,6.8,,,3.0,5.0,,9,21.0151072,105.7814958,False,False,False,False,0
2023-06-02 11:03:05,Nhà riêng,8.5,52.0,"Nam Từ Liêm, Hà Nội",Nam Từ Liêm,Hà Nội,2.0,,8.5,,,2.0,5.0,,9,21.0151072,105.7814958,False,False,False,False,0
2023-06-02 11:04:51,Nhà riêng,7.5,39.0,"Bắc Từ Liêm, Hà Nội",Bắc Từ Liêm,Hà Nội,,,7.5,,,,5.0,,9,21.0477677,105.7508232,False,False,True,False,1
2023-06-02 11:06:11,Nhà riêng,4.3,33.0,"Bắc Từ Liêm, Hà Nội",Bắc Từ Liêm,Hà Nội,1.0,,4.3,,,1.0,5.0,,9,21.0477677,105.7508232,False,False,True,False,1
2023-06-02 13:20:06,Nhà riêng,11.2,108.0,"Bình Thạnh, TP Hồ Chí Minh",Bình Thạnh,TP Hồ Chí Minh,3.0,2.0,11.2,11.2,2.0,3.0,3.0,,9,10.8041602,106.5878711,False,True,True,True,3
